100 500
6852 8606 244
4919 9681 583
6647 4125 115
3481 2278 800
576 6092 833
1083 8373 483
2036 7025 306
3431 8513 550
1829 7934 565
4012 3599 143
8391 6906 390
1140 9309 263
2016 5023 235
8423 9767 56
8643 8549 493
150 1847 330
3507 1422 295
1528 6507 571
5547 5009 72
8785 6123 46
7454 6220 427
849 9490 734
3246 4280 641
4356 1427 394
8566 8368 356
5026 6957 645
1627 2518 457
2619 9995 618
3894 7394 467
9762 8889 677
2296 9913 242
736 5803 767
1335 2264 266
8662 3234 611
7273 7448 488
5709 4727 198
20 6558 682
570 9618 282
7190 4926 520
1045 5757 774
9646 2424 650
2714 7625 439
4942 1685 240
7621 8836 986
9080 7383 840
7725 1376 483
3648 8461 290
3531 1335 380
725 2194 824
4569 4351 516
5994 279 200
5430 6014 68
3189 6000 593
5633 380 209
7278 3030 288
6137 6925 297
5454 5203 498
902 397 532
6889 4875 166
5585 2321 408
2259 9663 547
49 2259 462
8124 3580 662
3595 5202 565
2126 8164 412
5905 8120 499
4795 1335 534
487 7985 601
3688 6120 363
8365 966 259
9150 854 490
4243 4605 646
6057 5146 489
1354 9298 310
21 3291 370
7971 8632 475
2954 8020 209
7244 1079 305
7953 839 430
2633 79 568
5355 8538 97
4552 6503 958
6225 5039 617
4488 9913 560
7511 9205 88
7232 3013 453
59 1475 378
3970 2468 247
2973 5324 569
8119 9347 598
4968 6090 333
7979 7922 370
463 1575 307
5353 8416 105
2414 7986 650
4847 4122 795
2876 5751 208
625 5454 108
7142 5113 224
1719 4653 112
670 8951 964
7667 729 580
6779 7989 375
9549 6104 230
9666 7668 451
5451 4634 361
111 9783 373
2556 6926 673
1358 4262 212
1694 125 316
2248 6541 324
4247 1477 522
8645 4872 614
3283 5787 219
6337 5002 692
6793 7007 402
3954 812 497
4088 7085 311
8801 9989 435
3189 8467 307
4010 8641 527
9453 473 411
4776 2010 483
7399 6134 735
6272 9093 830
6259 4872 205
1986 6858 770
2701 631 710
8082 5984 198
2771 4419 477
987 5916 171
7778 1293 458
6728 8218 446
8378 5529 474
8208 7919 558
