100 500
108 2324 572
3731 2767 266
7737 6006 364
5183 2933 807
5872 9370 325
9462 1630 381
3342 659 512
6333 1666 926
981 348 854
2606 417 699
3561 8609 367
8326 4697 507
6104 5275 517
7562 1426 359
3842 2960 115
2460 3950 431
5284 6191 711
3069 9373 483
8549 8253 284
2306 773 562
3975 1769 537
8755 3669 271
2428 5089 491
5335 9762 724
1789 4294 414
6531 5350 816
9255 4858 188
6399 5359 539
6485 3962 237
6785 6679 178
6922 5597 80
6982 8558 685
1788 51 508
7931 6690 449
4656 237 615
3815 8631 305
8358 2571 332
8653 7139 655
4012 340 271
3253 5801 402
986 9784 609
1151 241 882
4642 3903 372
5601 7480 528
7865 8738 659
4159 1139 126
4336 7493 632
9697 2476 553
7545 7628 321
9166 2201 866
4217 9334 441
7185 8928 455
1905 2190 606
6067 5917 154
2530 9320 877
1718 3517 436
5456 9221 986
3758 99 437
3124 5711 664
3931 7341 452
4450 8090 591
8480 5138 230
5584 4529 733
7614 9481 771
8509 3133 476
8034 9079 185
2467 5219 659
8007 4372 424
3761 426 259
6641 6292 740
6098 4711 406
6161 1554 264
3932 6271 654
8005 3409 710
8335 1936 450
7102 2785 287
6379 1935 624
7923 8315 797
6464 1889 80
7796 1326 336
5022 5830 349
405 7489 246
7402 4764 259
8213 1163 635
1542 1206 110
3807 3992 112
5917 6320 226
1898 6202 176
8944 6256 441
9611 7279 122
4544 6713 542
64 923 788
8648 4339 624
5590 1465 589
2580 3386 639
2791 7603 387
5569 9548 678
1444 9323 420
4312 6010 123
486 2206 433
7216 646 589
6198 3134 239
6966 4448 345
9336 5910 148
704 5299 203
9541 5249 649
2012 5957 151
2524 7013 299
296 8115 530
8478 2877 722
7853 7621 209
6832 9774 561
7169 4628 131
9097 7833 568
638 5936 811
6391 4207 174
6582 8941 37
7341 9900 478
3389 3029 256
2163 4094 232
4680 1704 172
5695 3044 666
7662 8219 748
57 4310 417
2686 4887 418
3539 6892 42
2508 6723 707
6666 6029 738
1352 5764 455
214 8342 709
8052 6605 714
2549 986 608
5546 6242 500
886 8936 251
5623 9401 344
9382 303 117
7458 1429 379
3348 1472 246
9648 3405 640
2134 8687 486
4645 5674 311
5579 3505 922
8749 2245 280
9535 101 466
4361 9749 458
4796 2413 281
2707 7345 560
3399 8253 457
3588 638 666
3541 9211 368
6391 2923 67
9515 3849 296
704 9215 473
5321 6705 209
8972 7456 457
5392 3617 329
9482 971 289
7123 4583 393
9568 3010 248
4685 3930 113
9111 5833 219
2695 1818 870
3178 2447 160
72 3118 507
3085 9965 269
2330 9476 307
9241 8197 380
9678 9945 324
7412 4999 602
6650 6384 114
8807 2042 568
6354 4641 425
9365 3477 408
9225 8934 221
2839 262 489
9216 1950 228
6095 8263 207
3769 9273 501
710 193 432
2392 147 464
158 1074 24
9624 9399 266
5623 9302 431
5697 9387 340
653 2347 506
5771 5813 210
742 8477 837
6806 107 685
1954 6031 406
5393 1145 811
6293 961 456
3096 8740 749
9225 3217 304
4366 9935 144
3410 3110 66
83 9920 72
4184 6059 673
5672 6159 407
1713 1369 236
5546 8718 543
3716 7669 162
883 810 756
6147 7690 403
918 4453 729
3721 2663 695
5599 6367 485
3625 8695 562
5107 2850 289
8264 5825 654
9137 1674 330
8935 5572 754
7946 9471 689
7983 3618 142
5630 9696 506
1339 1176 266
4767 1408 469
8846 5650 323
2218 1345 720
3340 9488 552
5798 3414 698
2152 1397 620
9781 5777 367
92 1240 50
4979 8356 614
7066 468 540
6382 2353 583
6041 681 585
1825 4024 680
651 7455 560
73 1991 701
4984 4840 396
9751 182 408
490 1969 504
1527 3831 341
7810 7325 563
3597 9962 410
8723 3378 774
2091 5167 568
970 7070 484
9876 4388 399
7538 2610 653
6742 9931 934
3291 8567 669
3956 295 499
2374 4029 535
2286 7358 328
5221 8389 331
7540 5711 729
6710 9067 593
5894 4520 163
2745 9491 232
834 1468 336
9221 2925 492
6635 6544 474
6347 2863 212
932 3886 483
5474 4026 285
169 5117 403
8945 477 1047
5412 7672 405
858 4050 596
5030 6079 153
2439 8923 368
8143 5502 388
4342 389 784
22 7087 457
6233 7209 546
4907 5454 448
134 7895 538
8350 6482 359
758 9283 621
6720 2584 721
9661 6889 494
7702 4959 506
7367 9466 511
2631 8225 680
3517 4013 519
657 2308 435
2936 8800 650
7810 3631 256
9189 4185 240
7070 5422 211
1394 1978 626
7229 7880 551
6225 5579 772
4362 6983 465
1214 7434 135
5920 7228 730
676 3622 689
2187 8043 270
9440 4818 169
2620 2957 649
8831 9629 410
1618 8120 453
8429 5780 393
8103 3971 501
9965 5173 517
9393 7711 479
3503 2974 206
5592 9728 213
8554 6306 437
3064 6120 604
3741 8984 690
3348 4417 531
8958 5535 416
8812 4750 263
353 7784 681
7708 5537 300
7414 5678 359
3657 2195 734
1458 8112 228
6166 7776 634
3285 1912 415
1839 3141 196
4886 7431 659
9221 3440 184
90 2285 157
9561 3831 278
7621 9261 119
4600 2931 365
4797 9764 698
7682 1502 498
7548 1742 643
7039 1314 443
7420 7048 283
3510 5230 362
5160 9676 311
9358 4798 590
1588 1198 718
7939 6475 665
4981 3512 788
6267 5071 440
2150 2180 513
5254 9771 461
7794 9854 493
9055 2591 271
5970 6737 590
4093 3519 350
4831 7485 380
1185 8603 330
4533 4695 769
185 6046 438
724 9544 405
844 8664 194
742 5135 601
1491 5723 142
4999 4111 800
7147 7149 502
2643 2401 667
3273 437 565
8608 2328 127
3028 4578 503
5417 3474 697
4449 248 838
7311 5635 550
5203 1844 262
6682 5388 655
4242 3758 67
4932 1438 353
2423 2026 588
6573 266 159
4102 1573 175
4377 1249 349
5074 7021 553
2 8347 531
7458 8610 419
675 6839 617
9541 2444 300
313 3990 683
9044 7624 682
5977 4247 426
5820 2660 640
9636 6415 801
6418 920 733
7853 5193 269
2947 779 604
5460 3401 694
8704 9837 729
4650 3778 588
3210 1004 267
2126 669 392
9615 9153 288
7508 5508 101
1598 4173 563
9498 642 404
8149 5476 569
1242 321 419
4488 878 211
6736 906 462
8150 4590 427
6100 7449 577
1721 7912 654
850 425 308
7749 1852 215
4203 960 317
2857 2681 437
7981 8824 224
8187 1841 707
4332 9785 636
6014 3830 256
6779 4163 818
5658 8021 304
4484 146 173
5251 7573 493
7405 3402 350
2163 9857 81
851 3884 649
7769 8054 746
661 5518 333
9906 1216 573
2830 2763 120
3898 811 835
1587 2085 475
2652 2271 624
8222 5018 596
2454 5001 359
5533 8112 637
9375 6370 600
4611 978 259
3943 2016 322
732 2458 515
1873 7936 163
6342 9642 631
5990 3355 176
1512 5896 654
4571 695 512
8660 8469 396
7858 6599 573
6906 6863 153
8871 5128 576
1881 7677 665
6482 7415 708
5789 2209 800
137 6752 465
3187 4080 135
8768 272 349
6538 6993 294
8208 9232 131
2987 4198 768
2587 4500 547
94 7158 490
1547 5106 584
5628 9405 124
8058 8886 279
2620 3281 201
4015 4502 637
958 6849 403
8269 3099 344
5410 8406 339
9852 8597 610
8838 8620 864
8869 5376 858
1966 3429 849
4608 4953 180
7627 7195 655
5805 4074 479
705 7352 302
5532 6333 258
3110 3590 662
1572 5730 795
6871 5587 316
6584 7829 62
8788 1205 337
929 4198 602
5963 7133 416
9147 4801 682
5753 4369 508
177 4071 462
7798 1137 539
9025 5426 621
4684 4830 289
5852 5390 544
8535 1384 353
8075 7997 543
4975 9647 416
79 8198 416
1586 6664 870
2380 6726 376
4221 9661 479
924 185 325
6794 6424 527
4986 8899 465
793 1516 608
2971 8591 399
9005 1996 336
369 3690 601
3178 2573 348
5432 8065 528
3958 3507 877
2414 5285 120
9507 2494 572
3483 7445 220
9158 5863 544
4172 3379 151
5524 1448 770
9916 8670 449
7872 4903 334
7570 5017 142
2771 541 264
3609 1776 561
8337 8473 11
5828 7340 7
5828 6089 13
7248 9943 19
7248 8801 15
7248 8850 4
8701 9539 13
8701 9458 5
8701 8900 17
1324 7418 13
1324 9638 5
1324 2025 12
1324 5345 14
1324 8854 9
1324 8329 4
1324 5929 9
9028 9861 9
9028 9484 6
6163 8755 23
6163 6668 12
6163 9863 17
6163 8756 17
2809 3330 12
2809 7276 17
2809 3469 7
2809 5470 17
2809 5155 19
2809 7538 15
3567 9146 5
3567 5168 13
3567 4863 15
3567 4598 17
3567 6577 15
3567 4034 3
4312 6304 9
4312 6049 15
4312 8219 11
4312 5169 6
627 2811 6
627 9462 14
627 7887 7
627 3795 16
627 1579 17
627 1354 10
627 3049 13
627 5507 13
3392 3834 15
3392 5428 5
3392 4748 15
3392 4945 16
3392 9923 11
3392 3898 15
5270 7119 11
5270 8476 16
5270 5316 4
5270 9151 18
5270 9264 14
5270 8126 19
5270 9463 10
3001 7902 14
3001 4151 15
3001 6078 6
3001 5678 20
4100 4976 15
4100 9383 15
4100 7212 5
4100 7160 15
4100 9836 9
730 7471 14
730 3031 17
730 8492 14
730 1673 5
730 1822 14
730 4233 19
4432 7695 12
4432 7660 20
4432 7653 12
4432 9568 19
4432 6523 11
778 9945 17
778 1510 18
778 4450 14
778 2242 17
778 4684 15
778 3453 15
778 5351 20
1955 9824 12
1955 2960 13
1955 4028 6
1955 5908 11
1955 4235 9
1955 9942 17
1955 7205 5
3478 7127 9
3478 9236 15
3478 9339 3
3478 9974 14
3478 5277 15
3478 5981 11
3478 4252 13
6454 7707 18
6454 9088 20
6454 9529 7
6454 8247 11
6454 7369 16
2082 5024 9
2082 2658 13
2082 3977 5
2082 6456 13
2082 9443 18
2082 3631 4
2082 5172 12
5758 6446 16
5758 8602 18
5758 6742 20
5758 9675 11
6168 9208 10
6168 9967 14
2896 3317 13
2896 7713 13
2896 8202 18
2896 4311 12
2896 9702 14
2896 6975 7
828 9162 13
828 1288 17
828 4977 11
828 2114 13
828 7397 17
828 8156 14
828 5220 14
6262 9978 9
6262 6701 17
1932 8513 16
1932 6380 14
1932 6631 14
1932 6024 13
1932 5160 14
1078 9637 6
1078 9433 10
1078 6596 12
1078 2191 16
1078 4245 8
4595 5736 20
4595 5032 11
4595 7939 15
1794 3419 7
1794 4351 13
1794 7633 3
1794 4897 12
1794 9410 13
1794 4424 15
1794 6675 12
5778 5799 24
5778 8105 19
5778 6359 16
1586 1698 12
1586 2246 17
1586 6967 17
1586 3860 21
1586 8067 12
565 8226 8
565 8843 14
565 1197 9
565 2339 19
565 838 14
565 4312 13
565 6304 4
565 3993 12
7010 7783 13
3808 4558 15
3808 8130 18
3808 4155 8
3808 4525 7
3808 5497 9
3808 4244 10
5659 9165 21
5659 9753 16
5659 9013 15
2062 5907 19
2062 6787 21
2062 8109 3
2062 9961 8
2062 6133 9
2062 9857 11
2062 5768 5
2062 7938 11
834 2450 15
834 4146 23
834 3551 12
834 5446 15
834 6550 15
834 2141 10
834 7297 4
834 930 12
152 707 14
152 8310 15
152 6445 12
152 220 15
152 7483 11
152 9404 11
152 3215 14
152 7940 13
2758 4878 7
2758 8086 10
2758 8981 10
2758 6728 13
2758 5958 9
2758 3440 15
2758 7070 6
966 7974 15
966 7482 16
966 8185 17
966 8777 15
966 5707 5
966 5011 16
966 9327 13
966 9911 15
8341 8722 15
7095 7733 11
7095 8403 10
7095 9030 17
7095 7263 15
949 7487 18
949 7236 15
949 2540 13
949 8303 6
949 5405 14
949 7013 5
8969 9816 17
3961 9937 14
3961 4379 18
3961 6420 16
3961 9703 12
4744 7376 18
4744 5204 17
4744 9902 14
4744 6624 14
4744 5706 11
4744 8408 13
5700 7461 11
5700 9693 15
7238 7790 7
7238 9643 8
7238 8112 6
7238 7580 9
5512 6426 20
5512 8020 17
5512 7598 12
2107 3020 7
2107 6442 11
2107 5439 4
2107 2995 10
2107 3448 11
2107 4421 16
2107 3866 13
2107 8223 11
6054 8597 16
6054 9940 16
6054 8412 18
337 1263 14
337 1562 18
337 5897 12
337 3027 16
337 8423 18
337 4596 21
337 7356 6
337 6595 14
8097 8316 21
8097 8620 6
2642 3386 10
2642 3426 9
2642 9191 3
2642 5185 10
2642 7218 6
2642 5574 5
2186 8080 7
2186 2327 11
2186 9018 21
2186 7472 19
2186 3811 16
2186 5588 10
2186 9651 12
5437 8125 17
5437 8255 16
5437 6214 18
5437 8697 17
5437 7408 22
1021 3152 14
