100 500
6684 609 276
8686 9783 549
333 4072 183
509 7911 961
2619 4711 302
7298 4261 330
6172 6488 443
405 3754 436
3612 4658 554
4754 367 510
1150 4138 667
3924 9580 135
9451 131 102
4585 7597 303
4150 408 322
9442 7186 448
7369 4480 368
6970 7702 293
4904 3831 357
5613 7524 569
8542 9263 235
8137 1066 73
5751 8542 301
4820 5715 546
3200 5927 621
2434 4350 379
65 2711 424
282 5868 263
2842 4868 652
3465 3344 95
1628 9259 558
531 8997 638
3739 3853 89
6699 4996 728
7684 8664 551
2520 2579 292
7928 7009 603
3645 31 273
5552 4818 587
2099 5104 791
745 885 59
5807 7162 578
3596 6089 566
3031 2791 317
957 6496 273
2487 2585 776
5756 9370 393
7934 5847 339
3223 4633 473
843 7260 132
9650 9715 526
6191 3930 405
6725 6188 444
3961 2277 168
1006 2412 465
3733 8103 893
3298 9540 279
5266 3246 764
5630 8297 381
2389 2939 405
1145 4877 567
1877 6901 597
4247 9811 468
9101 3823 601
797 9944 841
7435 447 217
6012 9978 616
4377 2737 384
6166 4690 51
1366 3525 478
3455 5099 618
1628 6753 267
4640 6894 569
6351 6622 466
1543 8741 190
9561 2689 106
9970 7790 806
5942 569 320
7602 1395 333
744 4751 574
1340 8179 443
5198 7352 284
4509 5927 888
6441 676 436
6969 7807 872
4201 424 364
9258 2181 298
3529 250 464
9076 6233 488
6872 6971 481
1326 2786 91
6012 1296 709
576 8307 106
1865 4530 275
9702 2610 745
9281 1042 661
7141 831 523
4746 8003 845
6758 7539 335
5031 80 424
1698 5584 176
6856 957 543
7765 386 1000
1207 3193 316
2971 4432 174
165 4297 914
7218 6177 706
5593 4146 194
4484 3810 274
8677 4187 291
2772 4310 588
1581 6266 203
5142 2680 211
4269 8252 531
219 9300 240
4684 1918 77
4884 1541 786
9227 2649 406
8279 6786 311
2195 1250 269
1218 2360 157
5547 4788 335
4889 1140 150
5287 5726 349
1302 3964 483
9913 4075 369
4626 7846 660
341 9768 215
6878 962 370
4373 3450 372
262 9057 373
1720 1498 257
598 947 247
499 8877 544
7733 2694 709
127 5304 680
1406 5674 172
6444 6296 342
3166 1731 205
2022 821 135
2047 8287 518
1248 6674 170
6133 7941 599
2794 9364 289
8903 7167 257
2814 5517 660
2577 4534 391
7015 3175 824
5481 3866 525
8405 9566 233
6561 8532 714
4870 7967 438
559 7667 550
615 77 399
9398 2637 629
7250 1446 330
924 8498 480
8120 3410 355
6439 914 116
2774 5342 176
4434 5588 458
7211 7011 549
122 578 348
6538 1955 551
4445 4943 210
1521 7358 570
9828 2744 787
1677 6739 136
411 2293 156
6816 9809 352
4930 419 587
7607 2207 544
8917 5727 110
1969 5357 648
2994 4743 425
7051 3780 624
6683 4263 74
791 3157 253
1193 3681 397
5112 5638 625
8625 2985 697
9348 8453 324
5729 1026 555
5192 2492 372
3319 8360 698
8654 8249 243
8779 6261 135
6808 4049 691
8341 8777 721
9406 7687 444
9872 2809 672
1467 6555 567
3424 8610 671
9712 4618 161
2291 1176 559
6608 916 751
4162 5957 135
5721 6243 339
6983 7265 396
8736 302 383
1978 3742 69
4903 757 323
3 8064 209
4806 8344 492
6841 564 358
6031 6714 630
9726 3850 125
9621 3150 910
2460 5686 544
4120 4752 376
6862 729 442
2020 7376 426
3038 4094 614
3620 21 352
1359 8708 584
6675 3337 200
2450 7930 326
447 2453 603
5994 1605 649
7150 9188 613
8522 9533 407
2254 8248 313
3384 1875 70
7750 2196 387
3913 1871 68
3300 7128 662
8952 5321 420
4504 1990 203
5767 8124 221
8363 7126 279
3184 1390 269
6816 5634 547
9320 7263 452
4440 1667 438
8868 7942 438
855 7390 248
3827 3109 449
1990 3563 116
1336 9741 429
5760 5250 314
7964 9060 583
8730 6916 595
733 3234 668
5258 2852 674
7711 9973 862
9979 895 581
1363 6795 590
2882 7035 133
410 3674 251
8702 5630 445
1616 5909 244
9373 5443 152
5370 1363 592
5359 6707 355
7456 1119 455
8309 5420 504
6531 7039 278
8688 3617 374
6625 3946 439
6469 4336 9
271 2800 458
1584 1634 221
5947 4466 567
8670 6357 425
8140 3724 724
8340 6108 419
9634 7713 428
7903 5004 233
5428 3262 400
8063 2885 805
733 6372 266
4657 3617 497
9763 3346 229
3586 6389 587
3644 6407 676
725 3916 621
9208 8661 282
1902 5155 357
3127 6924 481
7865 7619 554
649 6205 605
79 283 677
270 7983 263
1639 5698 408
7597 9703 117
4935 8331 292
2427 9593 234
8300 2191 591
9291 1886 361
8580 9287 616
8293 5657 441
3203 3853 186
671 1458 282
5361 150 535
8382 9578 273
7770 9031 262
2135 4201 380
5666 2405 381
2184 7306 136
4455 6134 651
7009 9391 169
817 9436 469
5336 9117 243
7979 4627 390
7355 6559 455
3914 2000 868
8569 3470 401
5854 9240 173
4928 1215 620
5742 3310 410
793 3512 934
8694 2928 74
4066 4360 780
1685 2602 596
1666 6140 556
8736 5027 526
1883 9553 789
4464 7219 684
5022 2443 98
1846 2377 453
5355 2113 556
4378 276 423
5583 6584 222
5868 6863 592
7799 1610 280
6525 4944 461
1475 5219 238
7872 5541 473
9580 5909 103
8143 7598 745
2049 3232 450
2626 3933 404
9137 3442 547
1152 4160 378
2237 9351 439
2889 3944 591
1464 3619 730
572 3399 246
203 6440 252
6614 4354 538
4403 3139 499
9298 2230 801
4711 3522 609
4123 643 347
9431 8618 724
8241 7833 473
1850 7219 632
8118 988 796
661 9270 834
1500 9251 19
4973 741 292
3195 2789 278
4361 3768 387
2540 916 669
6560 9154 499
1623 963 665
8646 921 176
9545 3357 631
796 3668 350
4000 6579 505
2287 8593 338
764 4137 545
5813 8882 352
1477 2826 894
4505 9329 297
2077 9478 847
71 1625 635
8620 4432 457
5393 1160 554
1700 8305 468
6667 3323 712
9269 1665 524
597 8814 138
5022 7745 512
8835 5374 599
4324 1122 518
319 5089 677
1611 6132 335
323 9441 644
5311 4828 661
8770 3740 272
659 8841 716
5365 9279 685
9625 7110 812
6791 1326 456
5416 9810 531
1001 1037 360
1475 7950 619
6203 2849 346
5695 5038 318
8223 6372 469
2512 4895 499
7813 4124 674
1027 8136 243
3565 2690 339
2965 2335 699
6431 9976 409
7529 1796 80
9255 7154 405
5259 2398 330
4832 675 608
2209 2186 370
1712 3684 409
136 7915 209
6534 5832 364
9306 1109 175
2204 1818 156
6004 17 784
2294 3384 294
4505 5859 879
6074 7470 578
4547 8857 361
7446 2076 494
7006 3053 98
5582 2265 174
5452 6767 872
9292 4013 375
8953 1004 305
7697 9089 689
5271 583 507
1273 929 195
1693 3477 846
2748 4049 757
9846 5042 225
7433 4352 407
7254 9860 298
8174 1801 174
5069 1973 381
229 2075 522
5026 2163 580
692 6830 418
8930 9984 231
843 7883 270
7340 4893 342
3325 2612 699
5476 4598 301
3541 3521 589
4428 2641 527
7571 4274 720
7684 1356 612
4978 4938 270
7568 3153 556
3091 2638 180
1478 9672 480
4713 6504 962
1835 1758 565
9687 766 613
1742 530 352
5001 9083 493
1775 8326 759
8047 7252 561
2925 7940 619
773 3705 27
582 4696 311
7979 4618 578
2405 9310 343
5908 9973 252
8815 5351 808
2611 293 556
