100 500
936 2263 680
6758 9569 569
1111 8155 396
8787 8534 651
5236 9056 272
1551 8261 184
1779 8054 493
2288 9786 709
6698 375 240
5861 9485 221
9814 8230 468
3964 8038 480
1859 4415 572
622 5507 571
5376 4885 482
1993 2664 447
3500 5103 305
2233 4611 499
3258 7372 362
9497 4847 397
6428 1048 364
3108 4559 546
9103 5396 631
4346 2153 399
2124 6559 540
7990 1938 619
1141 8306 524
6328 9353 352
2721 3302 424
1212 4450 658
4539 9557 295
7114 8039 445
4661 9348 510
9003 4271 210
3072 8500 170
9118 9501 828
5901 8578 623
412 5004 447
327 1110 572
3509 2451 565
7669 1499 253
741 5163 359
9805 3421 172
4516 8878 223
6724 5728 889
3328 1263 474
5286 6795 599
5655 6299 630
2495 4658 634
570 5567 321
3158 9689 602
5068 9059 751
4619 1833 492
415 4946 700
2943 3924 346
3749 6965 124
1775 4490 595
2128 1580 211
7912 2996 180
459 988 304
5076 139 654
8603 362 6
6934 4258 854
3013 9429 295
8916 3584 138
4997 8427 366
9625 6417 351
3838 4244 442
4602 606 347
9191 7546 264
4530 2940 542
863 2658 254
3783 2991 512
4238 1695 550
2339 1049 548
9035 7415 363
1189 7638 445
7778 4475 526
1897 7143 543
257 7165 551
727 1606 871
1944 352 321
8023 5783 330
4597 2626 211
2741 140 606
6524 3623 388
9432 7387 560
6281 3215 501
6730 6872 212
4910 9069 352
7921 297 541
6484 5462 174
7936 614 722
6290 6185 370
4110 6547 676
9702 4837 559
8153 1647 246
1542 2528 210
3782 6139 285
1506 6523 370
2631 8030 508
146 2063 453
1769 2780 522
5279 4851 372
9652 6541 326
272 3925 20
6839 3109 306
5740 1127 499
75 2030 432
7312 4185 391
8577 7014 850
9023 3082 392
5013 565 223
5610 5147 162
3056 7117 764
1670 2039 391
1499 8169 732
4102 9621 49
7301 5733 461
4472 6953 992
2275 1097 669
878 5466 549
4206 6618 626
6593 4281 243
5000 257 455
8467 9929 138
3623 3842 604
3011 8637 312
759 4974 579
136 3815 426
8443 8159 272
5854 9942 616
6328 6308 171
5915 9981 228
2042 6740 284
6934 669 293
7837 4164 384
6135 2043 160
7135 9080 1010
2676 2135 136
9337 1143 653
2065 9312 591
1337 1428 629
4301 2096 609
6402 4438 307
5911 4845 704
2597 8117 659
1140 5277 634
778 3407 831
5258 9172 191
147 8544 374
9841 7984 104
2708 2328 653
6379 6195 304
7760 9056 814
8331 3449 682
6551 6748 632
2761 7889 488
4528 7063 684
9985 931 266
7853 2249 750
2128 450 357
6718 9620 624
2079 7496 624
3028 7337 392
3020 3175 575
5881 2861 621
7512 4941 759
1541 243 725
1137 9301 505
9299 5820 613
2750 2203 432
8920 1864 267
6444 3448 674
5279 6429 425
731 3132 651
5030 2860 542
3582 1749 519
8832 2013 756
5597 1860 60
9350 4970 288
1388 1583 225
7831 5252 463
2876 5725 506
5495 365 173
1378 1147 642
6185 481 644
3350 5105 417
2345 9794 828
4906 7624 63
2575 5637 146
756 7606 556
4849 690 412
5707 3682 588
2703 7656 367
1894 8405 505
2626 3282 529
6340 6810 362
8534 9216 214
8887 4030 415
9582 265 733
5177 2119 583
746 4879 196
3577 3091 826
4673 8483 256
7067 3600 629
472 4175 472
7558 5322 642
1217 3265 473
5356 272 546
7274 7250 122
8677 9900 321
533 1369 374
3062 5419 215
586 1949 509
5801 6520 354
2215 7330 134
4991 2961 587
2209 8568 545
2405 3234 564
3403 5824 486
6835 3876 210
6352 4393 835
5550 7569 639
4011 906 296
7842 1285 393
4508 2871 509
7537 1393 135
4241 600 713
6813 1179 697
2549 2614 707
4051 1116 479
6297 9042 546
4078 8506 287
3963 2835 142
1741 7366 571
5011 4928 525
7594 1363 269
5673 3144 584
8933 9684 653
402 3127 242
7321 4911 91
5998 4859 599
2656 6591 521
1811 9469 599
7770 4360 270
8436 1821 317
5477 4733 563
7216 5907 376
9591 1179 509
5094 7684 866
8545 105 651
8964 6140 463
1469 4638 702
5636 6754 537
674 2391 559
9881 7996 361
3654 2231 197
9207 6310 287
8823 1018 336
2132 2945 353
1730 568 528
1119 3559 461
1653 8335 321
9466 1244 376
9514 4560 433
5281 4411 457
1018 4245 105
6903 8839 234
8883 2540 565
5593 5910 853
1283 1826 238
258 4937 269
4057 9465 309
1247 9232 787
6835 9731 569
2178 4917 379
6651 3297 231
8477 8304 389
1632 7943 610
5901 7498 687
8856 1182 482
1909 9874 756
1779 8813 278
5065 7015 658
7705 658 363
2925 8988 193
8836 3183 638
3925 9245 452
9000 1524 335
8478 2187 165
1256 7008 799
7104 4259 130
305 5581 637
2564 8289 249
9877 4817 447
2139 8733 402
2351 4048 327
4959 4130 409
9213 24 684
7497 6918 398
7034 422 468
5906 2222 187
9957 6183 271
1467 5309 407
4060 6297 867
3848 1668 517
3305 953 726
5927 9962 337
2886 4843 560
4603 2763 245
9660 6742 429
7848 8363 450
7143 2807 349
8846 6356 675
9183 6343 417
3275 2569 459
6766 5533 92
4791 3075 284
8069 2611 819
8385 2129 214
8908 2233 265
149 8566 536
9538 6076 530
4880 2425 379
7272 9484 245
1540 3284 651
2578 9389 441
1648 9721 553
8548 494 163
2430 4084 776
3189 5705 685
6653 6307 628
1238 7797 321
9383 9307 460
6760 4120 184
7788 5668 686
2705 7937 469
586 2244 596
366 5467 348
1021 7638 641
1303 2561 628
922 233 145
8302 8922 68
6307 3203 741
5768 8737 202
7287 8958 491
4442 292 455
5265 2032 659
4441 1000 562
7692 1201 323
5120 5480 217
3222 7826 206
9770 3808 363
6422 6488 743
5627 7443 648
4126 3282 451
6356 1400 313
9868 1011 581
6675 6175 904
4214 2443 412
4912 7853 690
7753 5706 386
8145 9371 547
4090 8939 617
371 1782 696
140 5492 775
3615 3362 392
9670 9737 479
3523 6092 328
6225 5502 393
3535 6703 196
8785 6243 175
4455 5005 386
7254 1130 172
1180 1468 329
9926 2444 69
5673 4031 619
8150 3819 225
3402 8592 569
2758 3774 170
375 9250 1005
5618 342 195
8965 5288 303
79 8840 227
1380 2656 471
4342 1267 796
9359 9479 595
7510 3814 378
4484 4765 484
1297 2016 834
2585 7575 357
4460 8259 243
1606 2610 786
8430 1361 518
1203 7540 554
5135 7930 418
3142 7105 569
4624 2107 818
2393 4703 663
947 125 26
7359 1642 362
1392 3070 268
7473 5254 329
3236 1958 222
6371 4533 374
3974 5309 227
2108 4787 557
3568 67 370
7397 8350 295
1428 4952 534
2242 2915 573
9234 5384 578
20 3858 223
3844 8765 206
4913 1143 568
8890 8624 209
9137 6634 678
1694 6611 430
1888 4931 771
8569 8260 131
5816 8895 669
3569 7925 466
3682 3489 597
4344 7432 478
8191 5772 287
8736 6785 510
8687 4323 370
2169 5059 354
4533 2365 245
3824 9447 277
3509 2714 288
4423 2646 474
5700 6118 543
9257 7588 451
7401 4178 435
2200 3217 629
9426 2121 741
7494 9460 55
1962 1838 464
3244 6505 260
3962 8333 96
3290 2649 681
2656 5460 750
7708 7189 364
4177 7884 891
2988 4038 574
598 7412 497
6685 6298 307
9882 2294 892
239 7283 311
2825 2439 810
6852 8603 361
913 4347 581
4415 2875 644
2537 7660 283
9381 6500 492
5993 9023 331
5501 5001 662
835 9562 574
8542 5013 77
7446 1531 188
9051 4397 649
5295 2088 339
7047 5177 326
4383 7286 128
8812 3560 516
6078 5664 343
2163 3343 544
6363 2930 590
6218 8901 148
590 1951 360
5401 2935 308
975 902 358
7936 1810 396
464 2831 67
3175 4263 207
714 2227 617
8660 6009 620
4315 5707 145
7538 5050 78
9346 6350 468
8610 5424 423
8366 7125 366
8767 4730 643
56 1337 904
3631 6998 590
9641 5384 460
9934 6968 450
2638 4222 382
8778 9455 427
7053 8306 182
3718 4119 699
533 2378 343
128 4848 498
4437 4018 888
6251 3783 618
368 1213 531
5559 5087 489
4691 678 630
6618 8268 8
6618 8226 11
7775 9385 13
7775 9840 10
