100 500
8179 4161 466
8642 9407 468
3905 2152 923
9374 2439 729
8465 5004 445
1832 4511 250
5133 7683 896
8542 7012 369
8771 4005 376
8257 9808 112
647 2592 197
4579 9489 547
9504 3069 265
7255 3581 295
7302 3425 630
6424 1833 286
7586 5066 456
7593 1492 651
3571 6967 170
283 2036 354
8323 2116 322
6547 3456 474
9799 5089 411
469 4923 687
5446 8726 281
1083 6093 353
7671 5662 612
1935 7175 467
5084 9190 235
757 8738 549
8967 7181 321
6923 6553 894
8600 4516 440
4397 2171 641
7836 4681 185
559 6159 638
3149 7106 347
9616 2948 403
8547 6437 647
7871 3993 575
1515 5307 463
6438 9186 659
969 4725 963
6362 2405 983
3915 7119 478
7495 9234 736
652 4419 401
2140 5604 738
5287 6537 393
4127 9475 411
7570 4686 431
5635 719 347
8144 1603 322
20 6691 497
8040 4243 179
7036 9555 305
9550 9827 235
5094 6872 390
4552 1456 543
9277 4820 314
4927 3125 780
4054 1931 776
3896 6194 278
7536 9183 258
9084 1663 577
8659 3006 601
2702 646 276
78 846 664
8601 98 303
3890 2993 278
4341 926 157
8900 244 660
7105 3994 534
7116 1658 320
5450 2745 930
2830 377 280
5870 3236 884
2309 9766 647
9431 6197 251
5302 4867 474
4212 313 432
7873 6914 322
959 7951 1114
4113 5912 256
4401 4355 553
8905 8743 359
5281 7805 471
8987 8739 213
1800 2455 96
6749 3602 533
5200 9579 681
3980 1071 589
2815 2641 288
7189 8598 913
5190 2491 532
9817 9402 327
2804 7691 642
2669 115 622
1994 6782 309
6027 6396 238
7489 4932 408
1491 9122 561
9090 6830 426
7861 890 463
9285 4610 271
4492 4485 333
541 4824 812
1908 3357 419
3817 9098 377
8307 9007 496
1589 8125 303
8410 746 291
2168 7431 833
861 4162 715
565 3241 525
6910 8054 456
4525 8401 1060
7176 3615 662
5231 5038 199
857 4516 73
9648 1702 465
5354 6542 171
6526 7262 909
9899 344 551
6360 4558 722
5703 4302 256
9035 465 250
5048 1203 733
7896 2261 911
1718 8461 11
1854 8628 166
6515 6380 62
3382 3692 820
6347 8613 420
