100 500
9005 3115 363
7759 1085 958
1471 9481 437
8139 8463 851
4744 1867 912
669 2208 455
590 451 296
8060 2695 177
8321 6272 350
7422 986 336
9068 1482 871
5457 3612 184
5901 323 204
8358 5993 576
8703 2662 718
3975 4061 448
5777 8087 169
1498 3601 615
7568 5989 924
2064 8664 679
7856 9086 421
872 4798 23
9537 5284 565
7493 4210 246
1556 1267 401
5196 624 580
2749 7005 355
4237 5003 597
7328 8947 439
996 2384 320
1610 4972 390
6445 3739 521
9411 7943 753
7340 6979 143
3932 5757 550
5644 8140 752
4843 2868 543
2938 732 628
8153 6783 582
1295 9709 335
8051 6491 88
6686 7152 870
9849 923 198
2155 3529 665
9870 3152 582
5913 1480 601
4476 8710 379
1572 3887 79
3005 5264 617
7218 3289 552
1021 9214 86
1429 2216 806
2083 719 647
9301 236 533
7503 596 480
6297 1906 504
3439 2983 366
9058 3288 513
3906 1214 844
6818 129 287
718 9083 608
7961 1546 314
7794 9533 333
5433 799 395
1150 9003 319
4089 8523 370
8218 1870 397
740 301 628
2590 6393 210
6889 6445 542
6989 9538 441
4703 6780 313
2522 3761 461
69 2780 505
1327 3239 578
2909 8397 459
2322 7223 920
9943 6468 557
3108 1728 952
7268 4258 655
732 7709 237
2782 8950 430
9579 9874 255
5603 8521 284
6267 8844 383
1318 9608 203
8382 6021 455
6388 904 283
6135 2809 267
37 3814 306
6048 9298 625
2212 4723 350
6521 2155 755
1191 9630 978
236 4811 376
240 968 388
2520 3022 108
6270 8452 156
9248 8225 941
6973 5515 455
7069 4644 603
5123 5451 319
7017 7864 382
2708 3152 116
673 2745 14
6967 6722 419
2043 5531 417
7797 8565 840
4038 5340 265
4547 4274 650
152 4787 59
1594 9024 200
4162 4216 290
7476 3410 437
2441 802 801
5278 5862 311
5446 6753 157
1314 2463 380
4617 374 109
1968 5291 212
3119 5287 673
8365 5162 275
818 2514 900
79 1208 427
7854 978 571
5483 4358 509
2118 3429 737
3383 2632 152
7646 7211 379
2394 6439 270
4365 7672 776
2302 6163 249
778 9968 192
4979 5395 102
342 6947 676
7038 3461 304
8586 1755 295
4975 5756 840
621 1407 348
6964 8476 348
8737 2447 108
9186 855 508
5877 2569 646
3487 9875 829
6133 2234 142
6314 6850 554
9906 8616 455
3014 7036 858
8584 7993 546
2432 5278 741
1292 5822 662
8739 6230 876
3930 67 198
1986 4551 148
1474 8950 516
9379 211 371
7750 8566 693
7419 9979 552
7487 7258 501
9854 3620 550
9492 2520 741
6823 5751 139
7489 9837 185
2787 2425 272
4182 1571 381
7704 1826 875
7394 6443 560
8056 7676 393
2862 42 207
2227 4336 82
5344 1607 329
900 3094 538
173 4671 642
3073 4012 121
1929 9279 220
3985 1422 548
1800 808 596
7173 9289 464
645 9960 303
1714 1179 514
1532 5770 255
3005 5278 347
8566 1061 276
9306 1428 104
7455 1533 361
2117 2799 390
9492 3017 782
2246 6017 408
7688 1671 667
30 5969 536
951 4015 821
7391 2751 413
4823 4564 349
8392 1820 356
877 6458 394
2999 8761 375
2229 6004 139
391 795 579
3417 9697 362
2223 7224 392
7582 4340 494
6375 7075 363
3709 8621 542
9444 7749 282
293 5826 601
3719 7596 473
6193 1110 444
347 7368 480
2027 5091 120
9188 9256 215
1549 8539 60
8017 3778 457
895 8408 275
925 664 509
4457 3149 856
7888 2039 678
3841 616 695
5466 7551 415
5589 4911 431
5300 2234 465
7089 5371 601
9830 3283 666
6482 6529 248
651 4861 285
1620 6192 157
4117 9522 739
4731 8486 95
9652 1979 315
3246 578 626
2643 7703 662
79 6884 422
9742 3920 511
7500 1561 266
1471 3089 205
2824 3124 106
5324 9913 799
4847 1506 342
9548 7681 123
8036 200 624
2542 6008 804
2744 3011 158
5530 7475 498
1497 5183 608
9454 1095 198
2113 8450 333
8798 2192 529
5334 4893 400
6112 2834 794
6454 3936 612
2275 9278 883
3412 7599 251
5543 8259 688
9106 5092 584
5941 3494 711
1644 4835 635
9502 4388 687
7847 5033 318
8215 5696 607
6568 4022 159
6792 8681 361
2472 5590 355
