100 500
7955 9800 471
3578 6383 104
3174 9479 757
3900 2387 235
4691 7517 239
9556 7521 160
5387 7321 415
2785 6779 618
9167 4326 478
3365 3335 773
7803 3049 801
5981 1199 590
5463 9696 49
4498 4984 446
1004 5166 740
6400 8959 266
4966 6331 785
5342 4492 269
5810 9243 206
3231 501 260
3112 9139 452
4374 4851 470
6460 7160 295
7982 5627 116
7838 7699 676
5314 5641 719
748 1296 451
3193 2564 527
7344 7691 497
7548 8348 446
9209 301 603
7308 527 372
6632 9002 274
1371 2442 794
4597 4602 105
9295 7709 574
3741 3670 142
2560 6553 858
7182 6894 306
2180 5020 50
4593 3847 770
7014 5342 227
1495 207 347
7906 8839 202
4250 1806 412
3539 9811 482
8459 7199 709
338 5091 277
6202 1709 495
3885 799 511
2663 9533 472
4861 6404 757
3203 3773 506
2957 385 442
668 1489 433
5405 5261 983
5336 8771 266
6955 3183 684
8978 1213 388
8374 9580 254
9372 1914 215
9391 7831 561
9113 9729 373
9275 1667 433
7790 3160 412
8819 453 503
2693 3680 704
3209 2248 408
7453 6166 102
2633 4473 553
4008 4391 512
9735 5696 555
9514 3042 629
8880 4845 286
4256 7254 909
4425 3628 385
9168 3817 475
1459 4634 281
9898 7086 151
2653 4041 76
247 1472 582
4494 9292 427
1504 7704 237
7893 5310 473
222 6878 494
9783 4230 408
1269 5870 384
9927 7136 525
8913 5159 310
1981 3169 363
2413 6406 238
3149 1582 359
6575 4608 360
2568 6474 302
8047 1573 445
6867 8294 392
3046 1361 855
3938 902 705
5417 1831 25
6212 1992 698
8710 2348 739
2574 6331 396
4570 2501 736
3467 3483 575
7660 1800 649
3004 6426 338
8207 6153 313
4360 4782 875
7114 6928 668
7608 5161 468
8501 4475 323
9807 7899 578
2189 97 753
5154 3958 837
8281 7718 672
5950 3343 634
66 8525 222
9674 4637 625
7378 9494 102
4472 1391 458
1294 7477 320
7817 5853 231
9982 2177 640
6988 7096 588
5457 4596 384
8609 310 94
5424 4768 319
8210 3965 464
4866 3364 383
7923 3147 380
1082 3874 418
2842 7501 720
2399 8868 192
8490 9777 474
8362 2962 316
1168 6009 238
6791 5337 282
8214 6774 276
7514 5202 463
222 2971 380
6151 5184 856
3282 1575 374
9952 7844 127
5540 1170 259
7560 3463 378
4317 4994 460
3689 3511 80
2495 6088 238
2380 985 733
2218 7094 919
300 9738 453
9455 7091 489
5076 7670 101
217 8942 310
2872 440 442
8266 9023 569
5624 1548 538
6950 5576 378
5744 2490 473
3099 3304 619
2306 3768 263
8298 5995 586
7280 7146 440
8436 9660 92
4483 7006 491
6754 4783 533
3096 6210 596
8227 4524 419
3880 8444 446
3467 3104 73
8884 1733 120
8480 860 204
9633 5430 199
2789 5377 617
4273 5888 368
8681 2931 387
9656 6979 789
8926 6936 470
477 3714 519
2948 4961 539
7072 9703 508
6096 169 773
2265 4323 727
4693 6145 570
2768 8160 128
5601 8004 325
6245 4081 649
5217 5878 160
5864 8006 393
1255 137 462
246 9936 324
3068 6254 351
3268 8346 435
3191 97 474
8413 2491 906
5058 5485 354
2194 1155 393
5654 4459 429
1830 348 560
6956 4598 573
4860 8910 432
8955 1106 560
2991 4172 239
6984 8855 592
8530 8240 773
5344 5128 500
4528 4764 366
1382 4148 529
3111 925 882
4246 7876 549
3417 5656 579
3361 1963 676
6811 9016 478
2775 8642 368
5716 6083 505
9592 576 795
4993 4899 328
8034 4337 551
5423 5019 184
9544 305 182
9611 4889 437
5433 491 152
9653 3168 154
992 9116 41
4093 5238 409
6992 3862 935
7246 354 129
2178 410 645
5722 4953 486
5404 1438 197
1036 1348 340
8366 2382 241
6248 6401 102
6719 1671 565
7772 6263 662
8329 7383 311
7504 3762 163
4226 3510 242
3282 5218 116
8978 3728 378
6808 5971 402
7590 4055 481
2677 6120 362
817 4751 362
1073 6221 498
2541 8462 444
7569 907 509
844 3817 585
3660 3915 216
1841 1432 646
6530 170 428
5167 4035 338
284 5746 733
3897 3567 939
964 2875 560
7295 4125 698
5198 1237 206
8180 7875 562
7358 8997 226
2626 4783 86
1570 1519 161
3245 9139 232
8779 4089 269
9309 2439 732
4356 1150 605
224 887 511
7672 1743 364
4922 7956 258
7489 8819 508
7875 4806 609
8046 5170 602
8931 3245 692
2760 3463 537
1120 118 742
8812 99 747
4901 382 616
7970 4499 529
9521 6749 429
4940 8830 56
5541 9297 386
6332 5765 229
184 4004 461
3860 1458 584
8313 1350 597
277 6188 287
6156 4675 811
7711 1439 604
7920 471 275
4902 5393 757
6941 3714 487
1844 8194 55
4096 9814 288
2693 9969 316
6564 7634 472
5152 2105 519
3283 7836 601
4222 3467 378
1841 8082 261
4925 6506 34
5784 1554 154
2694 8292 759
6229 405 368
9731 4150 161
876 4633 656
9543 4169 173
4699 1387 632
2364 5147 156
1201 5057 434
1469 4117 388
9043 6621 39
2574 2326 550
809 6796 42
2145 2650 471
1231 7070 185
5508 7015 186
8624 8203 339
5308 1206 482
4960 5039 277
5356 5837 211
6025 1251 404
6358 724 120
8990 8722 769
5872 6543 528
132 7341 664
661 5527 209
314 3235 590
7854 1123 562
6384 9999 698
126 7615 297
3422 5634 800
4630 8398 645
189 6290 96
9604 5150 466
7682 1312 571
7339 3707 289
8915 3697 878
783 7905 457
2420 3007 415
4449 2552 252
6700 1462 463
8079 7014 710
4697 2285 496
4490 7433 290
8637 968 286
5048 8411 153
6602 6031 711
6809 3144 504
2321 2766 231
8294 3 86
430 5633 421
62 9346 511
9330 846 859
7251 8102 326
3853 8052 179
7006 554 125
9514 1438 401
3920 564 656
75 4762 400
7997 8712 526
5730 9398 389
3475 8685 475
5429 285 926
1829 4102 36
9403 123 278
4106 9833 399
2108 520 190
9179 7790 709
1366 2783 49
2245 1572 252
7187 9251 717
8478 6702 215
689 2398 810
3618 7117 433
3513 7967 59
5829 9243 581
7365 9305 425
7928 9146 152
5942 6109 790
3249 5345 268
2584 7355 690
1530 4692 857
7875 7062 251
8835 5594 380
9845 1080 749
7166 7032 610
331 1996 578
86 7373 164
746 56 630
4490 4259 153
8024 6671 370
3503 1741 842
2328 7783 214
888 4622 888
3893 4137 837
6319 6477 166
7844 7850 373
7522 2071 400
4912 6357 588
4017 1109 202
7437 7535 498
4493 4120 572
9531 4580 331
7845 278 377
