100 500
4147 6867 570
5631 1819 478
9188 9569 501
4415 6670 265
375 6874 450
3887 738 253
8015 7478 343
3240 1555 80
9377 1733 458
8151 2373 426
2604 9173 431
7727 8681 392
8838 4689 267
3405 3569 209
2779 1697 834
8195 6926 871
4916 3826 658
5097 456 853
3396 5865 282
3478 123 421
2739 7365 227
861 7106 667
4843 453 343
8661 573 69
2186 3164 420
9298 1142 286
2338 7025 216
9824 7528 536
1715 9581 234
7449 4494 287
7630 5644 222
7773 8899 898
5823 9222 591
9355 5571 332
5087 2834 327
5694 4178 606
199 2907 511
1284 1395 287
9712 6297 222
1968 8251 691
9462 7618 706
9393 8152 908
4643 5569 259
2032 2710 322
5151 9482 392
7205 9133 619
1478 1330 464
8032 7301 237
552 7388 465
2872 5640 476
6574 4918 371
6170 3125 665
4177 7455 246
872 3890 252
104 2840 502
2141 9566 242
6810 7886 347
4070 1454 358
3456 6103 203
4164 4959 822
1937 7721 359
4092 3415 773
5403 2125 751
717 2308 158
5865 9941 527
4300 8791 629
4860 470 861
1916 9037 521
7925 2789 755
9279 8030 368
1981 7772 788
3948 8792 144
5659 4371 329
6598 5467 182
6826 7114 245
6778 8763 215
4836 870 404
2178 6591 487
9347 9247 259
8899 1564 564
5541 3199 161
355 401 285
3670 8624 361
5790 7947 138
1413 5070 529
2329 9746 223
9194 2630 215
4890 4853 186
7001 1488 173
6672 3827 412
8603 3450 455
8942 9791 549
673 7472 289
6382 6372 761
6720 5282 745
7937 8613 379
4833 4644 385
9014 8503 445
3268 1156 591
6451 1033 452
2578 5132 358
780 1773 168
7762 5670 270
2978 4763 454
3511 9651 772
4942 2114 21
3101 3884 293
8257 3774 715
1357 4639 285
147 4429 516
6273 4436 601
3042 1107 613
9080 8408 268
9610 2349 401
9564 2413 226
9734 8495 121
3898 514 354
268 1660 469
2537 3246 160
2776 2400 725
2897 7718 200
866 2351 479
7955 9123 191
2477 5664 561
3762 8976 437
6445 6388 469
3412 5839 529
7495 2493 497
4247 3457 713
1194 163 209
2223 7280 171
8658 6121 145
4147 5278 778
7781 6684 238
8525 6909 535
5436 7774 701
980 6302 412
125 8935 327
1777 2603 350
951 1891 646
1579 7396 766
8279 1344 382
3235 5774 155
189 3834 219
9232 7735 365
349 7807 484
5015 5360 609
3928 9162 525
638 8061 379
2198 5515 218
4971 7634 530
3290 5951 407
288 9767 615
1238 2065 483
8722 8541 629
3957 6654 52
2289 2236 165
7998 1876 460
4363 4539 484
5710 9947 452
2274 2411 427
7754 7289 210
7771 1682 671
2804 4762 521
6095 5002 743
277 1066 403
8989 9919 261
3369 9277 556
9687 959 232
1343 8409 471
5852 1652 452
1415 8141 454
3888 9413 719
17 4603 383
3952 2079 545
4550 2578 732
4491 8656 253
6220 8614 338
6690 9024 229
3376 2786 345
378 3654 79
204 9367 658
3573 9926 421
8645 9612 453
7237 6340 559
8022 3090 175
7992 9437 353
1231 8232 564
5203 7601 621
9188 5507 255
9680 3738 519
4438 523 484
2395 658 142
9138 5437 407
9682 2514 970
8223 60 256
2520 8428 703
5780 6094 312
4706 4425 327
5706 1943 378
7117 80 585
5033 1461 231
5870 2617 224
9693 7425 573
218 5233 209
9284 6250 946
8972 3722 382
6774 7719 310
4380 5912 387
3156 414 752
4778 7732 585
6827 7299 612
2512 8959 1077
9745 7218 308
3384 5451 686
9161 6853 191
1884 4195 410
8314 4106 396
3164 4359 521
7883 9734 769
9593 7167 209
5984 4917 309
7242 2758 660
2636 7974 353
5022 2144 212
8389 9801 736
9876 1568 419
7100 2388 110
527 6845 228
9606 263 581
8648 5120 486
7116 6884 289
5667 1782 551
7342 8831 310
6141 5225 851
8565 2086 233
8745 901 676
7003 5987 811
3660 5991 239
3961 5034 316
8136 8702 444
1187 4364 706
6622 4639 306
3105 7149 687
7836 9063 375
3764 2837 427
4183 7232 402
9721 6202 42
9014 3416 432
1385 1508 509
8641 9950 718
3594 7386 681
852 6950 138
9725 864 487
2941 3687 382
2250 7429 154
2389 3438 105
8146 9012 497
8077 7603 209
2513 5914 542
6666 6278 578
8751 7202 477
9862 4824 233
9756 5229 328
8240 1142 165
6737 3234 500
1092 6683 131
6972 8296 407
9985 6698 632
5512 9279 37
385 4115 543
6708 9126 301
7553 1206 280
4490 1982 593
8809 7004 547
7896 1828 440
9634 2999 324
5382 9496 168
4176 5138 322
4725 2416 687
6280 7814 222
2002 3725 147
850 8975 386
8373 835 572
5673 3886 768
114 2410 97
8001 3175 615
7888 1906 452
4381 2379 524
3888 9543 576
9383 8137 487
1371 5369 197
7488 3105 298
1217 1664 122
8243 5943 496
433 4524 750
109 2435 545
8249 959 678
1410 6622 270
8147 3435 45
6860 8261 708
2197 1213 298
1436 86 585
9471 2170 616
2465 3360 675
8065 8200 290
7849 9436 550
9921 5337 266
2541 1138 470
3354 7136 666
3433 3787 87
1660 3543 533
6222 6261 59
854 3985 123
9236 9001 889
3772 2448 242
3615 5970 481
3662 1403 690
2408 3133 236
9925 4873 394
2845 7990 685
9425 694 851
7426 9346 250
2384 6319 832
6836 5738 589
9808 270 482
5877 1468 409
165 2099 436
4082 7371 488
2436 3318 63
6373 6209 222
5766 6340 550
8531 5780 274
7743 939 906
5266 7669 380
2164 8111 672
5659 1589 474
5158 9438 583
7287 3894 208
2109 4123 130
9632 1917 712
4393 5509 134
9738 910 396
3960 172 525
8282 2749 109
9842 1007 452
8958 1960 433
7347 3841 442
7741 1442 457
4780 9359 518
5463 6944 287
7470 7475 311
4885 8980 596
3265 2172 686
2874 1726 366
6295 2506 269
9996 7041 144
4367 9734 222
4303 4680 380
6258 2585 642
7429 6100 375
3592 2739 337
8060 7291 132
6580 2153 822
8734 7712 303
1512 549 319
4656 5335 725
8024 9541 529
4315 1289 495
1713 7190 365
3016 4360 430
6048 9364 298
7753 6768 504
9098 2057 134
1448 1708 414
4642 5229 380
7808 4587 170
7968 2220 373
1878 900 279
726 6964 343
8612 8590 301
7514 9620 335
3925 5538 117
9161 8241 339
3180 7226 882
1783 2548 298
7938 7831 118
1912 5692 568
951 7362 319
7749 2399 841
9070 8743 219
3980 3230 331
3330 1948 494
1802 1561 143
9200 2528 816
8525 4164 402
1119 2391 631
3784 1396 264
4282 9297 735
5989 7462 450
6523 7772 305
6362 814 574
1956 4626 579
6506 2907 514
1988 607 267
1659 7410 499
5702 5639 330
6992 5385 65
3940 8794 421
6946 9492 397
7675 1823 514
3657 5146 458
